,claim,topic,date_published,page_is_example,page_is_image_credit,page_is_archived,claim_label
0,"Georgia recently became the first U.S. state to ""ban Muslim culture.""",politics,"Nov 17th, 2016",False,False,False,false
1,"Georgia recently became the first U.S. state to ""ban Muslim culture.""",politics,"Nov 17th, 2016",False,True,False,false
2,"An Image depicts a fatal collision involving a Chevy Suburban that recklessly merged ahead of a tractor-trailer, resulting in the death of an infant.  See Example(s)",fauxtography,"Sep 16th, 2016",False,False,False,false
3,A special property of the equinox allows eggs (or brooms) to be balanced on their ends that day.  See Example(s),science,"Mar 17th, 1999",False,True,False,false
4,Sophia Stewart won a large judgment in a copyright infringement suit over authorship of the film The Matrix.  See Example(s),business,"Aug 8th, 2005",False,False,False,false
5,Sophia Stewart won a large judgment in a copyright infringement suit over authorship of the film The Matrix.  See Example(s),business,"Aug 8th, 2005",False,True,False,false
6,Images show several large topiary cats created by a retiree and artist named John Brooker.,fauxtography,"Dec 9th, 2016",False,False,False,false
7,Images show several large topiary cats created by a retiree and artist named John Brooker.,fauxtography,"Dec 9th, 2016",False,True,False,false
8,A video shows Dutch politician Tunahan Kuzu putting a grilled cheese in his pocket before an interview.,fauxtography,"Mar 18th, 2017",False,False,False,false
9,A video shows Dutch politician Tunahan Kuzu putting a grilled cheese in his pocket before an interview.,fauxtography,"Mar 18th, 2017",False,True,False,false
10,"British actor Rowan Atkinson, best known as 'Mr. Bean,' has died.            See Example(s)",fake news,"Jul 15th, 2016",False,True,False,false
11,Tom Price said that it was 'better for our budget if cancer patients die more quickly.',fake news,"Mar 17th, 2017",False,False,True,false
12,Tom Price said that it was 'better for our budget if cancer patients die more quickly.',fake news,"Mar 17th, 2017",False,True,False,false
13,"Canada, Norway, and Germany each offer federally paid family leave programs ranging from 35 weeks to 1 year in length.",politics,"Mar 16th, 2017",False,False,False,true
14,"Canada, Norway, and Germany each offer federally paid family leave programs ranging from 35 weeks to 1 year in length.",politics,"Mar 16th, 2017",False,True,False,true
15,A video shows a monkey that was severely injured at a L'Oreal cosmetics testing facility.,critter country,"Mar 16th, 2017",False,False,True,false
16,A video shows a monkey that was severely injured at a L'Oreal cosmetics testing facility.,critter country,"Mar 16th, 2017",False,False,False,false
17,A video shows a monkey that was severely injured at a L'Oreal cosmetics testing facility.,critter country,"Mar 16th, 2017",False,True,False,false
18,"Prolonged sexual arousal in men without an ejaculation can cause pain, a condition colloquially referred to as ""blue balls"".",love,"Mar 15th, 2017",False,False,False,true
